sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_frequently_do_you_or_your_family_have_enough_clean_water_for_home_use?,lat,lon
"""4504166653231104""","""6355518274666496""","""4669132333121536""","""4945879037378560""","""5897368358617088""",2019-02-12 02:07:20.466000+00:00,"""6491054415020032""",ii_tl-ph_water-&-sanitation-1,frequently,10.70855,122.5350383
"""4504331422269440""","""6179838836604928""","""4669132333121536""","""5278298399571968""","""5897368358617088""",2019-01-27 21:07:19.625000+00:00,"""5724247873814528""",southern-ph-tl_water-&-sanitation-1,frequently,7.0527547,125.5509436
"""4504608615432192""","""6320746273964032""","""4669132333121536""","""5278298399571968""","""5897368358617088""",2019-01-27 17:38:18.779000+00:00,"""5724247873814528""",southern-ph-tl_water-&-sanitation-1,frequently,7.0925117,125.618785
"""4504993837088768""","""6048119076683776""","""4669132333121536""","""4945879037378560""","""5897368358617088""",2019-02-11 17:06:19.898000+00:00,"""6491054415020032""",ii_tl-ph_water-&-sanitation-1,frequently,10.7181723,122.5649231
"""4506037244657664""","""4870814471028736""","""4669132333121536""","""5801511516897280""","""5897368358617088""",2019-03-25 17:17:24.058000+00:00,"""6046392499830784""",mg-ph-tl_tl-ph_water-&-sanitation-1,frequently,6.117042,125.1919395
"""4506274198716416""","""5930643768737792""","""4669132333121536""","""5278298399571968""","""5897368358617088""",2019-02-24 16:32:20.856000+00:00,"""5724247873814528""",southern-ph-tl_water-&-sanitation-1,very_frequently,7.0606936,125.5952272
"""4506884486725632""","""5822431988023296""","""4669132333121536""","""5278298399571968""","""5897368358617088""",2019-02-25 10:38:24.352000+00:00,"""5724247873814528""",southern-ph-tl_water-&-sanitation-1,frequently,9.273783,125.5556972
"""4507699188334592""","""6674362356727808""","""4669132333121536""","""4524129086603264""","""5897368358617088""",2019-02-18 16:12:26.404000+00:00,"""4598404573298688""",su_tl-ph_water-&-sanitation-1,infrequently,7.07263,122.2107887
"""4508315709079552""","""6099418669383680""","""4669132333121536""","""5278298399571968""","""5897368358617088""",2019-01-27 21:28:21.128000+00:00,"""5724247873814528""",southern-ph-tl_water-&-sanitation-1,very_frequently,7.0778012,125.6045188
"""4508464170663936""","""6227218613141504""","""4669132333121536""","""6474858068180992""","""5897368358617088""",2019-02-11 23:25:26.961000+00:00,"""4891860495499264""",dv_tl-ph_water-&-sanitation-1,very_infrequently,7.092653,125.6112513
"""4508464476848128""","""6302391947231232""","""4669132333121536""","""6327412847542272""","""5897368358617088""",2019-01-24 22:57:18.316000+00:00,"""5136112668377088""",mg_tl-ph_water-&-sanitation-1,frequently,6.7820292,125.209659
